Category	trait	Enrichment	Enrichment_p	Enrichment_p_adj	description
metacluster10L2_0	30280_irnt.female	53.37731472208449	4.060800193467956e-06	0.0023836897135656905	Immature reticulocyte fraction
metacluster10L2_0	30290_irnt.female	55.03786182940254	3.3444867093068415e-05	0.00981606849181558	High light scatter reticulocyte percentage
metacluster10L2_0	30300_irnt.female	50.85243065519278	7.14872775279983e-05	0.01142047000707501	High light scatter reticulocyte count
metacluster10L2_0	20150_irnt.female	-14.347421984097268	8.077013383115449e-05	0.01142047000707501	Forced expiratory volume in 1-second (FEV1), Best measure
metacluster10L2_0	30260_irnt.female	96.83456160119344	9.727827944697622e-05	0.01142047000707501	Mean reticulocyte volume
metacluster10L2_0	5102_irnt.female	102.45070210544677	0.0002308081948492	0.01890881217368614	6mm weak meridian angle (left)
metacluster10L2_0	5113_irnt.female	103.61253498695476	0.000232643636565	0.01890881217368614	6mm cylindrical power angle (left)
metacluster10L2_0	5085_irnt.female	-22.779393754318043	0.0002577010176993	0.01890881217368614	Spherical power (left)
metacluster10L2_0	30270_irnt.female	67.00189951443478	0.0003122798581314	0.020367586302570198	Mean sphered cell volume
metacluster10L2_0	30250_irnt.female	66.59592583821019	0.000357271834984	0.0209718567135608	Reticulocyte count
metacluster10L2_0	30040_irnt.female	61.430767261474045	0.0005848363444155	0.030167300510611245	Mean corpuscular volume
metacluster10L2_0	30260_irnt.male	87.46208665583504	0.0006167080172527	0.030167300510611245	Mean reticulocyte volume
metacluster10L2_0	30270_irnt.male	69.26302446754046	0.0007449114491298	0.03153098298053341	Mean sphered cell volume
metacluster10L2_0	5084_irnt.female	-20.071185393239965	0.0007520166298594	0.03153098298053341	Spherical power (right)
metacluster10L2_0	30240_irnt.female	71.64818877812104	0.0008172994903219	0.031983653387930355	Reticulocyte percentage
metacluster10L2_0	30070_irnt.male	86.01204953189945	0.0009794922311445	0.03509673912721408	Red blood cell (erythrocyte) distribution width
metacluster10L2_0	30280_irnt.male	40.15044914329078	0.0010200054191592	0.03509673912721408	Immature reticulocyte fraction
metacluster10L2_0	30050_irnt.female	59.93188741977424	0.0010762202798805	0.03509673912721408	Mean corpuscular haemoglobin
metacluster10L2_0	3063_irnt.female	-10.712081409229672	0.0016581611642137	0.05122845281018115	Forced expiratory volume in 1-second (FEV1)
metacluster10L2_0	30040_irnt.male	56.07682654088104	0.0018920830337185	0.055532637039637976	Mean corpuscular volume
metacluster10L2_0	20151_irnt.female	-10.74498326760138	0.0022156958447739	0.061933974327727584	Forced vital capacity (FVC), Best measure
metacluster10L2_0	1488_irnt.female	-26.93339767605289	0.0024898672532747	0.06643418534873859	Tea intake
metacluster10L2_0	30250_irnt.male	53.4140604039256	0.0026749739985359	0.06826998857132927	Reticulocyte count
metacluster10L2_0	30240_irnt.male	55.576554802562114	0.0031675844226651	0.07456422144228456	Reticulocyte percentage
metacluster10L2_0	5159_irnt.male	-350.80987748904664	0.0031756482726697	0.07456422144228456	3mm asymmetry index (right)
metacluster10L2_0	30050_irnt.male	57.46665273519693	0.0038220906654218	0.08629104694625371	Mean corpuscular haemoglobin
metacluster10L2_0	30830_irnt.male	-17.495867266015633	0.0046213592972575	0.10047177435148713	SHBG (nmol/L)
metacluster10L2_0	30290_irnt.male	45.45628205156589	0.0049116117146812	0.10296843130420945	High light scatter reticulocyte percentage
metacluster10L2_0	30070_irnt.female	73.6488828591083	0.0054986074732379	0.11129939954450509	Red blood cell (erythrocyte) distribution width
metacluster10L2_0	30300_irnt.male	43.8336449013044	0.0058038202077514	0.11356141539833572	High light scatter reticulocyte count
metacluster10L2_0	3062_irnt.female	-8.704978537774148	0.0072934329649679	0.1381046822721341	Forced vital capacity (FVC)
metacluster10L2_0	22146_irnt.female	-85.32668050060799	0.0079973027935345	0.14019780947998192	Age hayfever or allergic rhinitis diagnosed by doctor
metacluster10L2_0	30010_irnt.female	25.10542922944276	0.008115440984782	0.14019780947998192	Red blood cell (erythrocyte) count
metacluster10L2_0	22605_irnt.female	-653.6020456548315	0.0081204864094027	0.14019780947998192	Work hours per week - exact value
metacluster10L2_0	30060_irnt.female	119.73357615195542	0.0083599907861348	0.14020898832746082	Mean corpuscular haemoglobin concentration
metacluster10L2_0	100014_irnt.female	-109.49033096674916	0.0115798632020727	0.1878686053476212	Folate
metacluster10L2_0	3143_irnt.male	-9.84032790002594	0.0120693276210351	0.1878686053476212	Ankle spacing width
metacluster10L2_0	20153_irnt.male	-13.117547712301018	0.0121618517942242	0.1878686053476212	Forced expiratory volume in 1-second (FEV1), predicted
metacluster10L2_0	129_irnt.female.v2	74.43938187537613	0.0125404566009934	0.1887499493534135	Place of birth in UK - north co-ordinate
metacluster10L2_0	100001_irnt.female	-103.970055713645	0.0128649863481815	0.1887936746595635	Food weight
metacluster10L2_0	23121_irnt.female	-8.069266161688628	0.0140312039750103	0.20088577398368407	Arm fat-free mass (right)
metacluster10L2_0	30020_irnt.female	20.864569577200594	0.0149985552664851	0.20962266527206555	Haemoglobin concentration
metacluster10L2_0	3143_irnt.female	-9.098424615033716	0.01607580958835	0.21945349368282444	Ankle spacing width
metacluster10L2_0	23122_irnt.female	-7.47762189003403	0.0211757861956568	0.282504238564785	Arm predicted mass (right)
